Date;Type;ID;"Reconciliation Identifier";Payment;Order;Terminal;Shop;"Transaction Currency";"Transaction Amount";"Exchange Rate";"Settlement Currency";"Settlement Amount";"Fixed Fee";"Fixed Fee VAT";"Rate Based Fee";"Rate Based Fee VAT"
2023-04-11;payment;576d7af5-d901-4984-ba0f-946e3a8956a6;b722d2c8-2ec4-4d4d-a6de-172ca93df059;234581;194334-812731406-64351f5eb438e;"AltaPay CC EUR";AltaNomics;EUR;34.78;100.00000;EUR;34.78;0.00;0.00;-0.74;0.00
2023-04-13;payment;6eb6869d-1f4f-4f22-a042-cd7c7e95b92a;53e14fd7-8c88-47d0-a1bf-544d9b1e42fe;234631;194334-812731400-6437d004c8add;"AltaPay CC EUR";AltaNomics;EUR;17.68;100.00000;EUR;17.68;0.00;0.00;-0.32;0.00
2023-04-11;payment;91255a34-7849-46ab-8009-46ff1d14d315;57a7d4dd-57f4-4384-9d10-b3cc734207eb;234601;194334-812731386-64353ca85a43f;"AltaPay CC EUR";AltaNomics;EUR;17.45;100.00000;EUR;17.45;0.00;0.00;-0.37;0.00
2023-04-13;payment;24dcbc3b-311f-4cd8-bdfb-c7a61acaa5c8;bc071ed8-306c-4522-a336-0550f604bf7e;234641;194334-812731492-6437d03c694c9;"AltaPay CC EUR";AltaNomics;EUR;17.56;100.00000;EUR;17.56;0.00;0.00;-0.31;0.00
2023-04-11;payment;ac758ff0-fe60-4841-a521-7303aace5feb;b40ea470-8f03-4ec3-9ba7-cf80e5d81e9d;234571;194334-812731765-64351f00ae0f7;"AltaPay CC EUR";AltaNomics;EUR;35.13;100.00000;EUR;35.13;0.00;0.00;-0.75;0.00
2023-04-13;payment;470a9abd-3c7e-4803-b0bd-087ed144f02e;24d7c434-81c0-47d4-8655-c38f44aeb5e2;234621;194334-812731401-6437cfc21403e;"AltaPay CC EUR";AltaNomics;EUR;18.02;100.00000;EUR;18.02;0.00;0.00;-0.32;0.00
2023-04-10;payment;6e6a2f88-f76e-477e-84a6-d7c2d8695a23;6fea948f-994d-4e52-9afa-7f7d78eebf29;234551;194334-812731351-6433cd871f2c3;"AltaPay CC EUR";AltaNomics;EUR;115.50;100.00000;EUR;115.50;0.00;0.00;-2.65;0.00
2023-04-11;payment;04afc390-53a9-45af-8d32-e04db7cb4c91;20619e14-6ebc-47f2-a41c-32aecbc6afda;234591;194334-812731541-64353c6247c05;"AltaPay CC EUR";AltaNomics;EUR;17.56;100.00000;EUR;17.56;0.00;0.00;-0.37;0.00
